match_id,home_goals,away_goals,home_shots,away_shots,home_yellow,away_yellow,home_red,away_red
1,1,0,14,10,2,3,0,0
2,2,0,18,9,2,2,0,0
3,0,3,9,10,1,1,1,0
4,0,2,7,18,3,1,0,0
5,1,0,3,19,2,4,1,0
6,1,1,14,13,1,3,0,0
7,1,2,14,15,1,2,0,0
8,2,1,9,14,1,5,0,0
9,0,2,10,11,1,1,0,0
10,1,1,7,15,1,1,0,0
11,0,2,11,9,1,3,0,0
12,2,1,14,11,1,2,0,0
13,0,2,14,18,1,1,0,0
14,2,1,18,10,2,2,0,0
15,4,1,14,1,2,3,0,0
16,0,1,5,23,3,3,0,0
17,4,0,13,10,0,0,0,0
18,1,1,16,14,2,2,0,0
19,2,0,19,8,2,3,0,0
20,2,6,12,14,2,3,0,0
21,1,1,11,22,3,2,1,0
22,3,1,20,18,2,1,0,0
23,2,3,18,17,2,1,0,0
24,1,1,11,9,2,3,0,0
25,1,2,9,10,4,5,0,0
26,1,1,16,11,3,4,0,0
27,1,3,10,23,3,2,0,0
28,1,1,13,9,4,2,0,0
29,0,3,8,11,4,1,0,0
30,2,1,9,20,4,4,0,0
31,3,2,17,6,1,4,0,0
32,0,1,19,10,6,8,0,0
33,0,0,21,6,4,3,0,0
34,2,2,20,9,0,3,0,0
35,1,1,21,11,2,3,0,0
36,0,1,14,5,4,4,0,0
37,2,1,18,8,3,1,0,0
38,0,3,6,20,1,4,1,0
39,0,1,15,7,5,3,0,0
40,1,2,12,14,3,3,0,0
41,3,1,9,10,3,6,0,0
42,0,0,9,15,3,1,0,0
43,3,1,22,15,6,0,0,0
44,1,1,12,16,1,2,0,0
45,3,0,19,19,1,4,0,0
46,1,1,11,13,4,4,0,0
47,3,1,23,6,3,1,0,0
48,0,3,15,12,5,2,0,0
49,2,2,14,4,3,4,0,1
50,2,2,33,5,3,4,0,1
51,4,2,36,5,2,4,0,0
52,1,1,8,19,2,3,0,0
53,4,2,15,15,3,2,0,0
54,2,1,8,17,2,1,0,0
55,1,1,11,16,4,4,0,0
56,0,1,11,14,2,4,0,0
57,1,2,8,10,2,3,0,0
58,2,2,15,7,4,1,0,0
59,0,3,11,24,5,3,1,0
60,3,1,14,9,2,5,0,0
61,3,1,29,8,0,3,0,0
62,5,3,19,17,2,3,0,0
63,0,1,9,16,4,2,0,0
64,0,0,8,14,1,2,0,0
65,1,0,6,17,4,1,0,0
66,3,2,20,11,2,1,0,0
67,4,1,23,9,0,1,0,0
68,0,0,11,10,1,5,0,0
69,3,2,11,13,2,2,0,0
70,1,1,22,16,6,2,0,1
71,2,0,13,6,1,1,0,1
72,1,3,10,14,3,3,1,1
73,0,2,13,11,1,1,0,0
74,2,1,23,8,2,2,0,0
75,0,1,21,10,2,2,0,0
76,2,3,14,18,5,3,1,0
77,4,1,22,11,1,3,0,1
78,2,1,9,12,4,3,0,0
79,1,2,3,22,4,1,0,0
80,1,0,20,20,2,3,0,0
81,1,3,11,20,5,2,0,0
82,1,1,18,11,7,6,0,0
83,4,3,20,11,0,1,0,1
84,2,2,19,14,3,3,0,0
85,1,1,10,14,1,0,0,0
86,1,0,22,5,1,3,0,0
87,2,2,9,9,2,2,0,0
88,2,1,17,11,6,3,0,0
89,1,0,14,11,4,4,0,0
90,2,1,12,18,5,1,0,0
91,2,1,12,18,2,1,0,0
92,1,1,14,20,4,2,1,0
93,2,1,16,13,1,1,0,0
94,1,0,9,10,4,4,0,0
95,3,0,19,4,1,2,0,1
96,1,0,9,16,4,2,0,0
97,2,2,11,19,1,2,0,0
98,1,1,11,12,6,2,0,0
99,4,1,16,12,2,0,0,0
100,2,1,26,5,2,1,0,0
101,3,2,12,15,2,4,0,0
102,2,1,10,15,3,3,0,0
103,0,2,13,17,1,1,1,0
104,2,0,14,12,0,3,0,0
105,0,0,11,18,1,2,0,0
106,2,0,8,9,1,4,0,0
107,1,1,17,13,4,2,0,0
108,3,0,13,6,0,1,0,0
109,1,3,9,17,1,1,0,0
110,1,2,17,8,1,5,0,0
111,3,0,19,7,3,2,0,0
112,2,2,17,13,3,2,0,0
113,1,2,19,6,2,2,0,1
114,0,0,27,9,0,0,0,1
115,1,4,10,10,3,0,0,0
116,1,2,4,16,4,3,0,0
117,0,4,23,9,4,2,0,0
118,1,1,11,11,0,0,0,0
119,2,3,7,27,3,4,0,0
120,0,2,18,15,1,0,0,0
121,1,1,22,10,2,4,0,0
122,4,1,13,7,1,1,0,0
123,1,1,16,1,3,3,0,0
124,1,0,12,7,1,3,0,0
125,2,5,12,16,4,1,0,0
126,2,4,10,12,4,1,0,0
127,3,0,17,10,2,2,0,0
128,2,0,18,8,1,3,0,0
129,4,0,11,8,2,3,0,0
130,1,1,8,14,0,1,0,1
131,0,1,9,13,2,4,0,0
132,3,1,8,31,2,2,0,0
133,2,0,14,5,1,3,0,0
134,3,1,20,9,2,2,0,0
135,4,0,13,6,2,0,0,0
136,3,0,17,12,2,4,0,0
137,3,3,17,16,2,5,0,0
138,1,5,6,26,1,0,1,0
139,1,0,21,12,2,2,0,0
140,3,1,6,13,2,2,0,0
141,1,0,18,4,1,3,0,0
142,4,2,11,16,3,0,0,0
143,2,2,12,12,1,0,0,1
144,2,3,17,11,0,2,0,0
145,1,1,2,12,4,2,0,0
146,1,2,18,22,2,1,0,0
147,2,2,10,16,1,2,0,0
148,3,4,13,17,2,2,0,0
149,2,1,19,19,5,4,0,0
150,0,0,13,2,0,3,0,0
151,2,2,16,12,3,4,1,0
152,4,0,27,4,3,3,0,0
153,2,1,17,8,0,1,0,0
154,1,2,16,10,0,2,1,0
155,1,3,17,13,1,4,0,0
156,2,1,26,9,0,2,1,0
157,1,2,10,10,1,1,0,0
158,0,5,9,18,1,3,0,0
159,1,1,29,16,0,2,0,0
160,2,1,11,12,3,3,0,0
161,0,2,7,10,3,4,0,0
162,1,5,15,14,2,2,0,0
163,0,4,10,15,2,0,0,0
164,1,1,11,12,2,2,0,0
165,0,0,5,12,4,1,0,0
166,0,0,16,5,1,3,0,0
167,0,3,9,8,2,0,0,0
168,0,3,23,10,1,3,0,0
169,3,6,9,24,1,2,0,0
170,0,0,18,10,2,2,0,0
171,1,2,12,14,1,3,0,0
172,3,1,19,4,3,2,0,0
173,1,1,24,8,1,4,0,0
174,3,0,22,4,2,1,0,1
175,1,0,10,13,3,2,0,1
176,0,1,18,16,1,2,0,0
177,2,0,7,11,2,2,0,1
178,1,0,13,3,1,1,0,0
179,0,0,24,8,0,2,0,0
180,2,1,19,7,2,3,0,0
181,0,2,13,11,4,1,0,0
182,2,2,11,16,1,3,0,0
183,0,2,11,14,2,1,0,0
184,2,2,13,11,1,2,0,0
185,0,5,7,22,0,0,0,0
186,2,2,20,13,2,3,0,0
187,2,0,9,20,4,4,0,0
188,0,2,10,12,1,1,0,0
189,1,3,5,14,1,2,0,0
190,2,1,13,4,0,1,0,0
191,1,0,19,9,2,2,0,0
192,1,1,11,9,2,3,0,0
193,1,1,13,15,0,2,0,0
194,4,1,10,17,2,1,0,0
195,0,5,8,20,2,0,0,0
196,1,2,13,14,1,4,0,0
197,2,2,15,7,1,5,0,0
198,2,2,19,13,2,4,0,0
199,0,3,13,11,1,2,0,0
200,2,2,18,21,0,0,0,0
201,2,2,26,7,2,3,0,0
202,1,1,6,23,2,1,0,0
203,3,2,4,21,3,3,0,0
204,2,1,14,10,3,1,0,0
205,0,1,10,11,2,1,0,0
206,0,2,21,9,0,0,0,0
207,3,0,17,13,0,2,0,0
208,0,2,5,11,2,2,0,0
209,3,1,23,13,1,3,0,0
210,2,2,18,8,2,3,0,0
211,0,2,11,37,2,3,0,0
212,0,2,8,17,3,1,0,0
213,1,4,13,19,1,6,0,0
214,0,2,7,12,1,0,1,0
215,3,2,12,11,2,1,0,0
216,0,6,8,17,0,1,0,0
217,1,3,10,6,3,3,0,0
218,3,2,14,10,0,4,0,0
219,3,1,19,9,4,2,0,0
220,5,0,16,18,2,3,0,0
221,0,1,16,3,3,4,0,0
222,4,1,16,3,0,2,0,0
223,3,1,15,10,3,2,0,0
224,1,3,12,17,1,0,0,0
225,0,1,9,9,0,1,1,1
226,1,1,14,14,2,3,0,0
227,1,2,16,13,2,2,0,0
228,0,1,9,4,0,1,0,0
229,1,2,15,12,1,5,0,0
230,0,2,14,19,2,3,0,0
231,4,0,13,9,0,0,0,0
232,1,2,15,9,0,3,0,0
233,1,2,11,15,4,4,0,0
234,7,0,14,10,1,3,0,0
235,2,0,8,10,2,3,0,0
236,5,1,12,7,2,0,0,0
237,0,2,20,13,0,1,0,0
238,0,2,17,11,3,1,0,0
239,2,1,22,14,3,1,0,0
240,2,2,10,6,2,2,1,1
241,3,0,13,8,1,2,0,0
242,1,1,25,4,0,3,0,1
243,1,2,17,11,0,1,0,0
244,2,1,24,8,0,0,0,0
245,0,2,6,11,2,1,0,0
246,4,0,11,3,0,1,0,0
247,1,3,11,14,1,3,0,0
248,0,1,13,14,1,1,0,0
249,2,1,10,16,2,2,0,0
250,1,0,22,16,1,2,0,0
251,2,2,9,17,1,0,0,0
252,0,4,8,14,4,0,0,0
253,0,1,20,5,1,3,1,0
254,2,1,12,15,1,3,0,0
255,0,1,8,13,3,3,1,0
256,2,2,9,9,4,1,0,0
257,0,2,10,10,1,3,0,0
