player_id,matches_played,starts,minutes_played,goals,assists,yellow_cards,red_cards
1,3,1,86,0,0,0,0
2,4,1,120,0,0,2,0
3,1,1,65,0,0,1,0
4,6,0,88,0,0,1,0
5,1,0,3,0,0,0,0
6,16,11,1033,0,0,2,0
7,32,32,2842,6,1,4,0
8,12,10,855,0,0,2,0
9,25,17,1393,5,2,2,0
10,4,2,205,0,1,0,0
11,35,20,2074,2,0,3,0
12,7,4,263,0,0,1,0
13,1,0,7,0,0,0,0
14,34,33,2768,9,2,3,0
15,19,12,1090,1,1,1,0
16,26,22,1901,7,2,4,0
17,29,29,2463,0,1,13,0
18,1,0,1,0,0,0,0
19,28,12,1183,3,4,1,0
20,1,0,5,0,0,0,0
21,23,20,1710,0,1,0,0
22,4,2,170,0,0,1,0
23,4,1,134,0,0,0,0
24,15,13,1075,3,1,2,0
25,36,30,2652,9,3,2,0
26,28,21,1965,0,3,7,0
27,25,19,1545,2,2,5,1
28,22,15,1409,1,1,4,0
29,1,0,26,0,0,0,0
30,25,17,1433,7,6,4,0
31,29,12,1097,2,2,0,0
32,20,6,766,2,0,3,0
33,25,14,1219,4,6,3,1
34,19,19,1710,0,0,3,0
35,1,0,1,0,0,1,0
36,6,0,42,0,0,0,0
37,14,9,724,0,0,2,0
38,32,17,1639,3,1,3,0
39,16,16,1410,1,0,3,0
40,14,14,1260,0,0,3,0
41,2,0,6,0,0,0,0
42,8,1,300,1,0,1,0
43,14,14,1206,0,0,1,1
44,35,24,2114,1,3,5,1
45,22,21,1751,3,0,1,0
46,16,4,443,0,1,3,0
47,2,0,5,0,0,0,0
48,21,21,1760,0,0,5,0
49,16,13,1124,1,2,4,0
50,3,0,58,0,0,0,0
51,6,3,270,0,0,0,0
52,5,0,43,0,0,0,0
53,26,26,1959,2,0,7,0
54,8,6,583,0,0,0,0
55,1,0,2,0,0,0,0
56,5,1,127,0,0,0,0
57,35,35,2995,2,1,5,0
58,37,37,3109,4,7,7,1
59,2,0,13,0,0,0,0
60,24,17,1438,0,0,5,0
61,31,29,2495,13,2,5,0
62,26,23,2014,0,0,3,0
63,9,6,500,0,0,2,0
64,10,8,678,0,0,0,0
65,11,7,584,1,0,1,0
66,30,29,2523,2,3,5,0
67,32,27,2406,5,10,2,0
68,2,0,19,0,0,1,0
69,31,29,2486,0,1,7,0
70,14,12,966,0,0,4,0
71,4,0,45,0,0,0,0
72,32,23,2220,0,0,3,0
73,14,6,639,3,1,0,0
74,7,4,317,0,0,1,0
75,3,1,160,0,0,0,0
76,14,0,62,1,0,0,0
77,15,14,1188,0,0,5,0
78,1,0,10,0,0,0,0
79,15,7,764,2,3,4,0
80,34,34,2971,1,0,8,0
81,10,5,452,0,0,1,0
82,14,13,1090,0,2,1,0
83,2,1,91,0,0,1,0
84,33,28,2365,3,6,5,0
85,26,14,1371,5,2,1,1
86,27,21,1621,3,4,2,0
87,3,0,71,0,0,0,0
88,28,28,2508,0,0,0,0
89,1,0,2,0,0,1,0
90,28,23,1750,1,3,3,0
91,1,0,9,0,0,0,1
92,16,9,951,1,4,3,0
93,34,24,1977,0,4,2,0
94,2,0,48,0,1,0,0
95,9,1,157,0,0,0,0
96,29,10,1112,1,1,5,0
97,31,29,2647,3,0,10,2
98,12,8,753,0,0,2,0
99,22,19,1630,0,0,6,0
100,32,22,1972,0,1,4,0
101,1,0,2,0,0,0,0
102,28,20,1772,0,1,9,1
103,26,16,1572,4,3,6,0
104,37,30,2509,17,4,5,0
105,21,20,1781,1,0,4,0
106,12,1,236,0,0,1,0
107,1,0,1,0,0,0,0
108,24,18,1376,3,1,6,0
109,5,4,346,0,0,0,0
110,13,5,375,0,1,1,0
111,11,8,790,0,0,2,0
112,8,1,96,0,0,1,0
113,30,23,2165,1,0,5,0
114,30,27,2437,1,3,3,0
115,30,30,2473,7,5,9,2
116,2,0,28,0,0,1,0
117,9,3,320,2,0,0,0
118,1,0,8,0,0,0,0
119,17,9,859,0,0,2,0
120,31,29,2467,10,9,6,0
121,2,2,180,0,0,0,0
122,1,1,90,0,0,1,0
123,29,29,2583,0,0,6,1
124,37,33,2728,2,6,10,0
125,33,31,2472,0,0,7,0
126,30,30,2692,0,3,12,0
127,22,14,1188,1,2,5,0
128,23,19,1598,2,2,7,0
129,38,36,3177,2,1,1,0
130,1,0,6,0,0,0,0
131,22,14,1114,2,3,3,0
132,26,22,1949,2,2,4,0
133,2,0,28,0,0,0,0
134,3,2,139,0,0,0,0
135,14,11,836,1,1,1,0
136,26,13,1022,0,1,3,0
137,8,0,141,0,0,0,0
138,17,15,1362,5,2,2,1
139,26,21,1720,2,0,7,0
140,29,22,2128,0,1,2,0
141,2,2,177,0,0,0,0
142,35,31,2661,10,0,10,0
